location,sentiment,overall_sentiment_score
Bhokarhedi,Positive,0.6249
Bhopal,Negative,0.08032226093689511
Bhuban,Positive,0.44040000000000007
Bhubaneshwar,Negative,-0.42973333333333336
Bhubaneswar,Negative,0.05029944444444443
Bhupalpalle,Negative,-0.2411
Bhusawal,Positive,0.7579
Bid,Positive,0.4404
Bid District,Negative,-0.32184999999999997
Bidadi Industrial Area,Positive,0.4215
Bidar,Negative,0.04949999999999999
Bidar District,Positive,0.3902
Bidhan Nagar,Neutral,0.35190454545454547
Biharsharif,Negative,-0.00796470588235293
Bihat Begusarai District,Positive,0.4215
Bihta Begusarai District,Positive,0.5222
Bijapur District,Negative,-0.6696
Bijni,Positive,0.6249
Bijnor,Negative,0.012162499999999993
Bijnor District,Positive,0.5723
Bijuri,Positive,0.7003
Bikaner,Negative,0.19105000000000003
Bikramganj,Negative,0.1081
Bilandapur,Positive,0.3612
Bilaspur,Negative,0.14150000000000001
Bilaspur District,Negative,-0.05282499999999998
Bilaspur Gautam Buddha Nagar District,Neutral,-0.0258
Bilaspur Rampur District,Positive,0.44040000000000007
Bilgram,Positive,0.4215
Bilhaur,Neutral,0.0
Bilimora,Positive,0.44040000000000007
Bilsanda,Positive,0.44040000000000007
Binnaguri,Positive,0.6705
Birbhum,Negative,-0.07339285714285709
Birbhum District,Negative,0.001966666666666672
Birodhi,Neutral,0.21075
Birpara Tea Garden,Neutral,0.0
Birpur,Positive,0.8316
Bisalpur,Positive,0.44040000000000007
Biswanath,Positive,0.3612
Biswanath Chariali,Neutral,0.0
Biswanath District,Neutral,0.236575
Bobbili,Positive,0.4404
Bodinayakanur,Positive,0.4215
Boisar,Negative,-0.08244999999999997
Bokakhat,Positive,0.44040000000000007
Bokaro District,Positive,0.4215
Bokaro Steel City,Negative,0.08535238095238096
Bokaro Thermal Township,Positive,0.7003
Bolpur,Negative,-0.03997500000000001
Bonaigarh,Positive,0.6279
Bongaigaon,Negative,0.11677499999999999
Bongaigaon District,Positive,0.4404
Bora Gagangohalia,Negative,-0.07105
Botad,Positive,0.44040000000000007
Boudh District,Negative,-0.4019
Brahmabarada,Positive,0.8304
Brahmapur,Positive,0.34
Brajarajnagar,Positive,0.64284
Brajrajnagar,Positive,0.4215
Budaun,Negative,-0.055675
Budaun District,Positive,0.6249
Budge Budge,Positive,0.5859
Budhana,Positive,0.4215
Buita,Positive,0.296
Bulandshahr,Positive,0.4915
Bulandshahr District,Negative,0.21775000000000003
Buldana,Positive,0.44040000000000007
Buldana District,Negative,0.07844999999999999
Buldhana,Positive,0.4215
Bundi,Negative,0.18760000000000002
Bundi District,Positive,0.4215
Burdwan,Negative,0.03825624999999997
Burhanpur District,Positive,0.8555
Buxar,Neutral,0.37271666666666664
Buxar District,Positive,0.5590437500000001
Byadgi,Positive,0.44040000000000007
Byasanagar,Positive,0.5602666666666667
Cachar,Positive,0.4215
Cachar District,Neutral,0.28429000000000004
Calangute,Negative,-0.0814
Calcutta,Positive,0.7906
Candolim,Negative,-0.07224999999999998
Central Delhi,Positive,0.296
Central District,Negative,-0.22630000000000003
Central Division,Neutral,0.24032999999999996
Chabua,Negative,-0.5256
Chakan,Negative,0.024518181818181828
Chakdah,Negative,-0.1541
Chakdaha,Neutral,0.33805
Chakia,Positive,0.5994
Chakmano,Negative,0.11750000000000002
Chaksu,Negative,-0.4939
Chala,Neutral,0.0
Chalakudy,Negative,-0.5849
Chalisgaon,Neutral,0.0
Challakere,Positive,0.6616
Chamarajanagar District,Negative,-0.4754
Chamba,Neutral,0.0772
Chamba District,Negative,-0.4347
Chamoli District,Positive,0.8415333333333334
Champa,Positive,0.6249
Champua,Positive,0.6265714285714286
Chanari,Positive,0.4215
Chanasma,Positive,0.4019
Chanchal,Positive,0.42622499999999997
Chandannagar,Positive,0.4215
Chandapur,Positive,0.34
Chandauli,Positive,0.43662
Chandausi,Negative,-0.07567500000000002
Chandgad,Negative,-0.3412
Chandigarh,Negative,0.20856666666666665
Chandil,Positive,0.4215
Chandili,Positive,0.4215
Chandpur,Positive,0.8746
Chandpur South Twenty Four Parganas District,Positive,0.4404
Chandrapur,Negative,0.0739333333333333
Chandrapur District,Positive,0.5100307692307692
Chandrapura,Positive,0.5729200000000001
Chandurbazar,Positive,0.4572
Changlang District,Positive,0.4404
Changsari,Positive,0.296
Channagiri,Positive,0.4404
Channarayapatna,Positive,0.6249
